epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4472,0.8784,4.57857,1.40946,0,0,0,0,0.98332,4.92626,2.00607,4.128e-05,4.128e-05,4.128e-05
2,59.1823,0.61828,4.50858,1.2672,0,0,0,0,0.77006,4.89218,1.80443,8.34456e-05,8.34456e-05,8.34456e-05
3,73.1719,0.50331,4.37471,1.17297,0,0,0,0,0.61957,4.86771,1.60663,0.00012476,0.00012476,0.00012476
4,92.4571,0.48373,4.30658,1.14296,0,0,0,0,0.68447,4.76598,1.50461,0.000165223,0.000165223,0.000165223
5,111.159,0.49115,4.17789,1.12299,0.0079,0.08333,0.02382,0.02106,0.64624,4.69554,1.40232,0.000165189,0.000165189,0.000165189
6,130.619,0.4668,4.11766,1.1124,0.01631,0.16667,0.0477,0.0369,0.64362,4.64913,1.47932,0.000163486,0.000163486,0.000163486
7,148.169,0.44267,3.99407,1.09993,0.03762,0.22222,0.13903,0.11709,0.6023,4.67919,1.4143,0.000161783,0.000161783,0.000161783
8,165.188,0.42782,3.88196,1.09853,0.03323,0.19444,0.07734,0.06187,0.76367,4.66983,1.4829,0.00016008,0.00016008,0.00016008
9,181.718,0.42811,3.8393,1.07566,0.02394,0.19444,0.05451,0.04491,0.53827,4.65386,1.31711,0.000158378,0.000158378,0.000158378
10,199.134,0.46671,3.71137,1.10758,0.04574,0.36111,0.11491,0.09597,0.74952,4.68938,1.46554,0.000156675,0.000156675,0.000156675
11,215.487,0.41104,3.5431,1.07336,0.03911,0.33333,0.11635,0.10011,0.61805,4.74246,1.35519,0.000154972,0.000154972,0.000154972
12,233.397,0.4169,3.43353,1.07219,0.0244,0.22222,0.09904,0.08914,0.5106,4.7732,1.2357,0.000153269,0.000153269,0.000153269
13,254.363,0.42367,3.39294,1.08207,0.03154,0.27778,0.1339,0.12173,0.53804,4.71368,1.25233,0.000151566,0.000151566,0.000151566
14,275.441,0.43411,3.28021,1.04832,0.02332,0.27778,0.13296,0.12633,0.45785,4.71115,1.18193,0.000149864,0.000149864,0.000149864
15,294.597,0.41519,3.20472,1.04785,0.01526,0.22222,0.09427,0.09313,0.4812,4.77564,1.21368,0.000148161,0.000148161,0.000148161
16,314.59,0.3934,3.08696,1.0396,0.0123,0.22222,0.09112,0.08477,0.52795,4.84213,1.24751,0.000146458,0.000146458,0.000146458
17,337.773,0.40166,3.00267,1.04569,0.01204,0.22222,0.05436,0.0503,0.62603,4.94128,1.32407,0.000144755,0.000144755,0.000144755
18,356.71,0.41589,2.85269,1.04067,0.01486,0.22222,0.08084,0.07276,0.54346,4.875,1.24854,0.000143052,0.000143052,0.000143052
19,375.297,0.37546,2.72276,1.01942,0.02212,0.27778,0.05958,0.05663,0.45205,4.8017,1.19597,0.00014135,0.00014135,0.00014135
20,393.967,0.40507,2.74249,1.04137,0.02367,0.27778,0.05666,0.05376,0.56905,4.80982,1.28616,0.000139647,0.000139647,0.000139647
21,413.346,0.39043,2.68446,1.04322,0.05567,0.30556,0.08486,0.07886,0.54631,4.84092,1.2467,0.000137944,0.000137944,0.000137944
22,434.352,0.36452,2.52887,1.01871,0.05112,0.33333,0.11753,0.11011,0.51003,4.88954,1.24227,0.000136241,0.000136241,0.000136241
23,455.657,0.40775,2.48822,1.05484,0.05622,0.33333,0.10858,0.09772,0.48527,4.91864,1.2236,0.000134538,0.000134538,0.000134538
24,475.327,0.36578,2.38496,1.02972,0.0348,0.27778,0.10889,0.10177,0.49152,4.86578,1.24838,0.000132836,0.000132836,0.000132836
25,494.375,0.37129,2.24862,1.00934,0.04167,0.27778,0.13512,0.12161,0.4978,4.78734,1.21682,0.000131133,0.000131133,0.000131133
26,513.812,0.35055,2.18543,1.01586,0.03779,0.27778,0.16123,0.14649,0.46947,4.75362,1.18564,0.00012943,0.00012943,0.00012943
27,533.333,0.35671,2.22343,1.00707,0.04087,0.27778,0.11516,0.11148,0.42756,4.77224,1.17488,0.000127727,0.000127727,0.000127727
28,553.219,0.3605,2.06977,1.02,0.06024,0.33333,0.16583,0.15109,0.43017,4.75058,1.1681,0.000126024,0.000126024,0.000126024
29,572.519,0.34967,2.04313,1.01944,0.05219,0.27778,0.14734,0.13445,0.56639,4.77609,1.24414,0.000124322,0.000124322,0.000124322
30,593.704,0.3534,1.97114,1.02568,0.05612,0.27778,0.11049,0.10128,0.50327,4.85954,1.18089,0.000122619,0.000122619,0.000122619
31,616.896,0.37638,2.099,1.02591,0.0376,0.22222,0.0737,0.06772,0.46645,4.90225,1.17368,0.000120916,0.000120916,0.000120916
32,640.263,0.35131,2.03723,1.01716,0.02835,0.22222,0.07555,0.0691,0.50134,4.89711,1.17509,0.000119213,0.000119213,0.000119213
33,664.909,0.33855,1.88354,0.99772,0.03724,0.22222,0.10319,0.09391,0.56392,4.82125,1.22108,0.00011751,0.00011751,0.00011751
34,688.009,0.35492,1.86277,1.00307,0.02858,0.19444,0.05873,0.05396,0.54862,4.78167,1.21092,0.000115808,0.000115808,0.000115808
35,712.565,0.34977,1.87259,0.99741,0.05644,0.25,0.09184,0.0845,0.50601,4.80966,1.17527,0.000114105,0.000114105,0.000114105
36,736.821,0.33121,1.7709,0.97888,0.3589,0.10256,0.06421,0.05686,0.49224,4.84982,1.16939,0.000112402,0.000112402,0.000112402
37,759.202,0.33453,1.66039,0.99148,0.05029,0.25,0.09102,0.08376,0.51512,4.8334,1.18987,0.000110699,0.000110699,0.000110699
38,783.976,0.34004,1.64703,0.99566,0.04152,0.25,0.09889,0.08624,0.4657,4.79035,1.14804,0.000108996,0.000108996,0.000108996
39,809.819,0.33468,1.68807,0.9887,0.03856,0.25,0.0995,0.08126,0.45532,4.76101,1.13604,0.000107294,0.000107294,0.000107294
40,834.874,0.33185,1.6948,0.96975,0.04538,0.27778,0.14734,0.11716,0.48756,4.78617,1.16111,0.000105591,0.000105591,0.000105591
41,859.521,0.33562,1.67235,0.99275,0.22194,0.11111,0.17037,0.14538,0.54308,4.87225,1.19429,0.000103888,0.000103888,0.000103888
42,886.053,0.3145,1.54471,0.97133,0.13776,0.11111,0.07829,0.06815,0.52027,4.86699,1.17312,0.000102185,0.000102185,0.000102185
43,911.636,0.30483,1.53176,0.98264,0.0376,0.22222,0.07978,0.06627,0.47098,4.8345,1.15835,0.000100482,0.000100482,0.000100482
44,936.426,0.34792,1.58078,1.00572,0.04659,0.22222,0.06317,0.05488,0.48155,4.85855,1.1825,9.87796e-05,9.87796e-05,9.87796e-05
45,962.768,0.3175,1.4629,0.98895,0.03711,0.22222,0.06743,0.06274,0.4843,4.86228,1.17089,9.70768e-05,9.70768e-05,9.70768e-05
46,989.01,0.30194,1.49437,0.98089,0.03662,0.22222,0.07945,0.07077,0.47137,4.85993,1.15456,9.5374e-05,9.5374e-05,9.5374e-05
47,1015.24,0.31653,1.46043,0.98186,0.03606,0.22222,0.07274,0.06436,0.48369,4.8975,1.18802,9.36712e-05,9.36712e-05,9.36712e-05
48,1041.73,0.30793,1.45684,0.98055,0.03021,0.22222,0.09081,0.08173,0.46919,4.90422,1.16092,9.19684e-05,9.19684e-05,9.19684e-05
49,1066.95,0.29939,1.39635,0.9658,0.03104,0.22222,0.09542,0.088,0.49864,4.86878,1.16895,9.02656e-05,9.02656e-05,9.02656e-05
50,1093.92,0.29467,1.39023,0.96152,0.03122,0.22222,0.09213,0.0855,0.47849,4.82903,1.17092,8.85628e-05,8.85628e-05,8.85628e-05
51,1121.09,0.30218,1.38816,0.97319,0.03678,0.22222,0.09121,0.07857,0.43437,4.79033,1.14359,8.686e-05,8.686e-05,8.686e-05
52,1148.31,0.30345,1.38965,0.97241,0.03671,0.22222,0.07456,0.064,0.45098,4.81269,1.1454,8.51572e-05,8.51572e-05,8.51572e-05
53,1173.7,0.31598,1.3498,0.9819,0.03626,0.22222,0.09121,0.07829,0.4729,4.84905,1.15415,8.34544e-05,8.34544e-05,8.34544e-05
54,1200.69,0.30337,1.33981,0.99394,0.02747,0.22222,0.09208,0.08127,0.44714,4.85993,1.14505,8.17516e-05,8.17516e-05,8.17516e-05
55,1227.88,0.29862,1.31929,0.97662,0.02765,0.22222,0.1013,0.08564,0.45104,4.85703,1.16192,8.00488e-05,8.00488e-05,8.00488e-05
