epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.546,1.5093,4.74284,1.95655,0,0,0,0,1.26189,5.47021,2.73005,1.032e-05,1.032e-05,1.032e-05
2,76.5868,1.23389,4.67072,1.75833,0,0,0,0,1.12205,5.39214,2.78142,2.14745e-05,2.14745e-05,2.14745e-05
3,114.681,0.95437,4.57426,1.55043,0,0,0,0,1.05932,5.37052,2.82254,3.16755e-05,3.16755e-05,3.16755e-05
4,152.538,0.84126,4.50514,1.46701,0,0,0,0,1.05843,5.32563,2.84932,4.09229e-05,4.09229e-05,4.09229e-05
5,190.603,0.7792,4.53866,1.46738,0,0,0,0,1.03485,5.34799,2.68366,4.92168e-05,4.92168e-05,4.92168e-05
6,228.495,0.75137,4.47439,1.37661,0,0,0,0,0.963,5.28578,2.4862,5.6557e-05,5.6557e-05,5.6557e-05
7,266.439,0.60193,4.39066,1.26885,0,0,0,0,0.80228,5.25018,2.15954,6.29437e-05,6.29437e-05,6.29437e-05
8,305.279,0.55706,4.37076,1.23722,0,0,0,0,0.7107,5.22113,1.96852,6.83769e-05,6.83769e-05,6.83769e-05
9,343.554,0.50523,4.34313,1.17993,0,0,0,0,0.5994,5.18487,1.73276,7.28564e-05,7.28564e-05,7.28564e-05
10,383.335,0.47007,4.28865,1.17635,0,0,0,0,0.56626,5.14729,1.65807,7.63824e-05,7.63824e-05,7.63824e-05
11,421.768,0.51279,4.30177,1.17855,0,0,0,0,0.54515,5.14736,1.56308,7.89549e-05,7.89549e-05,7.89549e-05
12,460.864,0.4977,4.26679,1.16134,0,0,0,0,0.53905,5.08645,1.49677,8.05737e-05,8.05737e-05,8.05737e-05
13,498.912,0.4543,4.18988,1.13831,0.08333,0.08333,0.08292,0.00829,0.52878,5.04304,1.47269,8.1239e-05,8.1239e-05,8.1239e-05
14,537.391,0.45822,4.2412,1.1665,0.125,0.16667,0.12437,0.04146,0.49389,5.02278,1.41646,8.09508e-05,8.09508e-05,8.09508e-05
15,576,0.46234,4.17299,1.13996,0.14167,0.25,0.16583,0.09121,0.45531,5.00762,1.33213,7.66432e-05,7.66432e-05,7.66432e-05
16,614.133,0.92313,4.98516,1.55439,0.12153,0.25,0.20729,0.12023,0.48057,5.01652,1.35358,6.9832e-05,6.9832e-05,6.9832e-05
17,654.524,0.54111,4.74093,1.26257,0.02146,0.16667,0.12437,0.10365,0.5304,5.01917,1.41159,6.30208e-05,6.30208e-05,6.30208e-05
18,694.266,0.48207,4.6838,1.32128,0.01157,0.16667,0.10365,0.08084,0.65311,5.00864,1.59116,5.62096e-05,5.62096e-05,5.62096e-05
19,734.556,0.35072,4.66163,1.15093,0.05205,0.25,0.15201,0.1147,0.77122,5.04543,1.7639,4.93984e-05,4.93984e-05,4.93984e-05
20,773.703,0.45477,4.5871,1.31964,0.0267,0.25,0.15201,0.11056,0.81042,5.02183,1.81938,4.25872e-05,4.25872e-05,4.25872e-05
21,811.376,0.39051,4.44213,1.22182,0.02655,0.25,0.16583,0.11608,0.78697,5.0273,1.7799,3.5776e-05,3.5776e-05,3.5776e-05
22,849.238,0.34327,4.5099,1.13288,0.03026,0.25,0.08983,0.06979,0.7048,5.06967,1.66073,2.89648e-05,2.89648e-05,2.89648e-05
23,887.265,0.35658,4.39205,1.1829,0.01012,0.16667,0.06219,0.04975,0.65763,5.06501,1.56917,2.21536e-05,2.21536e-05,2.21536e-05
24,925.942,0.29933,4.37197,1.08931,0.00994,0.16667,0.06219,0.04975,0.64051,5.05221,1.5144,1.53424e-05,1.53424e-05,1.53424e-05
25,963.815,0.30394,4.3534,1.13034,0.00959,0.16667,0.06219,0.04975,0.63941,5.04797,1.50564,8.5312e-06,8.5312e-06,8.5312e-06
